#CAMI Submission for Taxonomic Profiling
@Version:0.9.2
@SampleID:lonely_davinci_5
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
2	superkingdom	2	Bacteria	93.0160005304
2157	superkingdom	2157	Archaea	3.10807279988
2759	superkingdom	2759	Eukaryota	3.55576007394
10239	superkingdom	10239	Viruses	0.320166595822
74015	phylum	2|74015	Bacteria|Latescibacteria	0.0039202465051
74201	phylum	2|74201	Bacteria|Verrucomicrobia	0.324596410622
265317	phylum	2|265317	Bacteria|Candidatus Poribacteria	0.0039202465051
28890	phylum	2157|28890	Archaea|Euryarchaeota	2.65008663745
1117	phylum	2|1117	Bacteria|Cyanobacteria	0.750335181076
976	phylum	2|976	Bacteria|Bacteroidetes	8.44891526779
3041	phylum	2759|3041	Eukaryota|Chlorophyta	0.116823345852
7711	phylum	2759|7711	Eukaryota|Chordata	1.12746289487
95818	phylum	2|95818	Bacteria|Candidatus Saccharibacteria	0.00548834510714
57723	phylum	2|57723	Bacteria|Acidobacteria	0.22267000149
1383058	phylum	2|1383058	Bacteria|Candidatus Fervidibacteria	0.0039202465051
40117	phylum	2|40117	Bacteria|Nitrospirae	0.162298205311
1224	phylum	2|1224	Bacteria|Proteobacteria	39.1687509311
651137	phylum	2157|651137	Archaea|Thaumarchaeota	0.0611558454796
35493	phylum	2759|35493	Eukaryota|Streptophyta	0.47670197502
28889	phylum	2157|28889	Archaea|Crenarchaeota	0.397512995617
203682	phylum	2|203682	Bacteria|Planctomycetes	0.264224614444
67819	phylum	2|67819	Bacteria|Armatimonadetes	0.0266576762347
67818	phylum	2|67818	Bacteria|Candidatus Atribacteria	0.0125447888163
67817	phylum	2|67817	Bacteria|Candidatus Aminicenantes	0.00627239440816
10190	phylum	2759|10190	Eukaryota|Rotifera	0.00078404930102
200918	phylum	2|200918	Bacteria|Thermotogae	0.373207467286
4890	phylum	2759|4890	Eukaryota|Ascomycota	0.417114228143
200795	phylum	2|200795	Bacteria|Chloroflexi	0.265008663745
1379697	phylum	2|1379697	Bacteria|candidate division Zixibacteria	0.00078404930102
1239	phylum	2|1239	Bacteria|Firmicutes	19.9509185138
62680	phylum	2|62680	Bacteria|Marinimicrobia	0.0078404930102
65842	phylum	2|65842	Bacteria|Fibrobacteres	0.0446908101581
1052197	phylum	2|1052197	Bacteria|Candidatus Calescamantes	0.0039202465051
6656	phylum	2759|6656	Eukaryota|Arthropoda	0.602933912484
142187	phylum	2|142187	Bacteria|Candidatus Hydrogenedentes	0.00313619720408
456828	phylum	2|456828	Bacteria|Cloacimonetes	0.00940859161224
67820	phylum	2|67820	Bacteria|Candidatus Microgenomates	0.00313619720408
508458	phylum	2|508458	Bacteria|Synergistetes	0.236782888908
1297	phylum	2|1297	Bacteria|Deinococcus-Thermus	0.615478701301
200930	phylum	2|200930	Bacteria|Deferribacteres	0.078404930102
201174	phylum	2|201174	Bacteria|Actinobacteria	18.8508973444
68297	phylum	2|68297	Bacteria|Dictyoglomi	0.0439067608571
200783	phylum	2|200783	Bacteria|Aquificae	0.262656515842
544448	phylum	2|544448	Bacteria|Tenericutes	1.29603349459
