#CAMI Submission for Taxonomic Profiling
@Version:0.9.2
@SampleID:pensive_curie_9
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
2	superkingdom	2	Bacteria	94.7697033913
451864	superkingdom	451864	Dikarya	0.000711121224835
2157	superkingdom	2157	Archaea	2.20803140311
4751	superkingdom	4751	Fungi	0.000711121224835
10239	superkingdom	10239	Viruses	1.3113075386
2759	superkingdom	2759	Eukaryota	1.7095354245
74201	phylum	2|74201	Bacteria|Verrucomicrobia	0.213302587014
265317	phylum	2|265317	Bacteria|Candidatus Poribacteria	0.00576493478418
28890	phylum	2157|28890	Archaea|Euryarchaeota	1.99610866902
1117	phylum	2|1117	Bacteria|Cyanobacteria	1.09966131008
976	phylum	2|976	Bacteria|Bacteroidetes	7.38488145853
5204	phylum	2759|5204	Eukaryota|Basidiomycota	0.32427758161
57723	phylum	2|57723	Bacteria|Acidobacteria	0.161418173957
1383058	phylum	2|1383058	Bacteria|Candidatus Fervidibacteria	0.00288246739209
1224	phylum	2|1224	Bacteria|Proteobacteria	45.6712545939
203682	phylum	2|203682	Bacteria|Planctomycetes	0.19312531527
147538	phylum	2759|4890|147538	Eukaryota|Ascomycota|Pezizomycotina	0.00144123369604
147537	phylum	2759|4890|147537	Eukaryota|Ascomycota|Saccharomycotina	0.00144123369604
640293	phylum	2|640293	Bacteria|candidate division NC10	0.00432370108813
67818	phylum	2|67818	Bacteria|Candidatus Atribacteria	0.00864740217626
67817	phylum	2|67817	Bacteria|Candidatus Aminicenantes	0.0115298695684
6029	phylum	2759|6029	Eukaryota|Microsporidia	0.0100886358723
200918	phylum	2|200918	Bacteria|Thermotogae	0.242127260935
4890	phylum	2759|4890	Eukaryota|Ascomycota	1.34322980471
5302	phylum	2759|5204|5302	Eukaryota|Basidiomycota|Agaricomycotina	0.00144123369604
68525	phylum	2|1224|68525	Bacteria|Proteobacteria|delta/epsilon subdivisions	0.00144123369604
200795	phylum	2|200795	Bacteria|Chloroflexi	0.177271744613
1239	phylum	2|1239	Bacteria|Firmicutes	18.4290552713
62680	phylum	2|62680	Bacteria|Marinimicrobia	0.0115298695684
1052197	phylum	2|1052197	Bacteria|Candidatus Calescamantes	0.00432370108813
