Method,superkingdom,phylum,class,order,family,genus,species,strain
Common Kmers ,1.0,2.0,5.0,6.0,9.0,15.0,18.0,60.0
Common Kmers Sensitive Unnormalized,1.0,2.0,5.0,6.0,8.0,15.0,18.0,60.0
CLARK v1.1.3,0.0,0.0,0.0,1.0,3.0,12.0,23.0,60.0
FOCUS cfk7bd,1.0,0.0,0.0,2.0,6.0,19.0,22.0,60.0
FOCUS cfk7b,1.0,1.0,1.0,2.0,5.0,18.0,20.0,60.0
FOCUS cfk7d,1.0,0.0,0.0,2.0,7.0,19.0,22.0,60.0
FOCUS cfk8bd,1.0,0.0,0.0,2.0,6.0,19.0,21.0,60.0
FOCUS cfk8b,1.0,0.0,1.0,2.0,4.0,17.0,20.0,60.0
FOCUS sjanssen,1.0,0.0,0.0,2.0,6.0,19.0,21.0,60.0
FOCUS cfk8d,1.0,0.0,0.0,2.0,5.0,19.0,22.0,60.0
DUDes ,1.0,1.0,1.0,1.0,3.0,13.0,18.0,60.0
DUDes old,1.0,2.0,3.0,3.0,6.0,15.0,18.0,60.0
commonkmers sjanssen,1.0,2.0,5.0,6.0,8.0,15.0,18.0,60.0
Quickr sjanssen,1.0,0.0,0.0,0.0,3.0,10.0,15.0,60.0
MetaPhlAn2.0 db_v20,1.0,3.0,6.0,7.0,10.0,15.0,18.0,60.0
mOTU 1.1.1,1.0,1.0,3.0,3.0,6.0,17.0,19.0,60.0
Taxy-Pro ,1.0,0.0,1.0,2.0,3.0,14.0,23.0,60.0
Taxy-Pro sjanssen,1.0,0.0,1.0,2.0,3.0,14.0,18.0,60.0
TIPP 1.1,1.0,0.0,1.0,2.0,3.0,16.0,19.0,60.0
mpipe ,nan,nan,nan,nan,nan,nan,nan,nan
MetaPhyler V1.25,1.0,0.0,1.0,2.0,3.0,16.0,19.0,60.0
