Method,superkingdom,phylum,class,order,family,genus,species,strain
Common Kmers ,1.0,1.0,1.0,1.0,7.0,24.0,63.0,29.0
Common Kmers Sensitive Unnormalized,1.0,1.0,1.0,2.0,13.0,31.0,83.0,32.0
CLARK v1.1.3,1.0,89.0,178.0,249.0,319.0,1152.0,0.0,0.0
FOCUS cfk7bd,1.0,10.0,10.0,30.0,58.0,102.0,136.0,109.0
FOCUS cfk7b,1.0,7.0,10.0,26.0,51.0,78.0,93.0,90.0
FOCUS cfk7d,1.0,6.0,7.0,22.0,47.0,80.0,119.0,81.0
FOCUS cfk8bd,1.0,11.0,10.0,30.0,58.0,105.0,154.0,121.0
FOCUS cfk8b,1.0,8.0,11.0,30.0,58.0,94.0,112.0,109.0
FOCUS sjanssen,1.0,11.0,10.0,30.0,58.0,105.0,154.0,121.0
FOCUS cfk8d,1.0,7.0,8.0,24.0,54.0,92.0,141.0,102.0
DUDes ,0.0,0.0,1.0,9.0,49.0,111.0,210.0,180.0
DUDes old,0.0,0.0,0.0,1.0,12.0,23.0,34.0,61.0
commonkmers sjanssen,1.0,1.0,1.0,2.0,13.0,31.0,83.0,32.0
Quickr sjanssen,2.0,28.0,32.0,79.0,171.0,436.0,757.0,0.0
MetaPhlAn2.0 db_v20,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0
mOTU 1.1.1,0.0,0.0,1.0,8.0,44.0,98.0,152.0,164.0
Taxy-Pro ,1.0,25.0,37.0,94.0,199.0,480.0,0.0,0.0
Taxy-Pro sjanssen,1.0,23.0,31.0,82.0,170.0,355.0,480.0,684.0
TIPP 1.1,1.0,17.0,37.0,84.0,188.0,333.0,440.0,4.0
mpipe ,nan,nan,nan,nan,nan,nan,nan,nan
MetaPhyler V1.25,1.0,16.0,37.0,103.0,253.0,512.0,1072.0,17.0
