Method,superkingdom,phylum,class,order,family,genus,species,strain
Common Kmers ,0.363505146372,0.976530042648,1.35354061012,1.36151782538,1.4862065384,1.74442244389,1.93409326146,2.0
Common Kmers Sensitive Unnormalized,0.363505146372,0.863103437272,1.28547141708,1.29644597156,1.44208673298,1.74034952986,1.93409326146,2.0
CLARK v1.1.3,0.363208476126,0.724728591189,1.18285657579,1.18560377291,1.59950073785,1.74803384638,1.0,1.0
FOCUS cfk7bd,0.363505146372,0.503775299252,0.904595932584,1.00038685562,1.34915569358,1.74437941891,1.96729979075,2.0
FOCUS cfk7b,0.363505146372,0.527216753902,1.02191099376,1.11397651896,1.52331019707,1.80221685564,1.9368376953,2.0
FOCUS cfk7d,0.363505146372,0.454887331178,0.864357068629,0.986797156559,1.35325475443,1.74924970317,1.96729979075,2.0
FOCUS cfk8bd,0.363505146372,0.497140518604,0.895150509335,0.979713639719,1.34389259905,1.73783495339,1.96546019071,2.0
FOCUS cfk8b,0.363505146372,0.530078872014,1.02281576216,1.10867435315,1.52848296122,1.79818489732,1.9368376953,2.0
FOCUS sjanssen,0.363505146372,0.497136603422,0.895174396483,0.979728396747,1.34388210751,1.73782144958,1.96545573077,2.0
FOCUS cfk8d,0.363505146372,0.455485032323,0.864789510302,0.970916349334,1.34516008663,1.73989840615,1.96729979075,2.0
DUDes ,0.363505146372,1.2368967826,1.44867336106,1.44878121733,1.60277754225,1.73470751909,1.93409326146,2.0
DUDes old,0.363505146372,1.52422568261,1.65401982936,1.65400960036,1.6811995288,1.76042604845,1.93409326146,2.0
commonkmers sjanssen,0.363505146372,0.863103437272,1.28547141708,1.29644597156,1.44208673298,1.74034952986,1.93409326146,2.0
Quickr sjanssen,0.363505146372,0.452115896285,0.676562971191,0.920354703099,1.4266055608,1.54846298424,1.81586791725,1.0
MetaPhlAn2.0 db_v20,0.363505146372,1.3548699826,1.44040577355,1.44040428098,1.57036088192,1.64486998492,1.93409326146,2.0
mOTU 1.1.1,0.363505146372,1.49063253632,1.57490833126,1.58286089042,1.65974401342,1.77565818481,1.93463094646,2.0
Taxy-Pro ,0.363505146372,0.693306354595,0.954006310395,1.04799751819,1.37189243628,1.80376843321,1.0,1.0
Taxy-Pro sjanssen,0.363505146372,0.689158218112,0.949817887541,1.02185782631,1.33208558907,1.79993678572,1.93538582678,2.0
TIPP 1.1,0.363505146372,0.786962401861,0.941183510263,0.95315359228,1.09636286246,1.76005285266,1.93463094646,2.0
mpipe ,nan,nan,nan,nan,nan,nan,nan,nan
MetaPhyler V1.25,0.363505146372,0.494650500553,0.716564402843,0.725025750306,1.01104344246,1.7437289785,1.93463094646,2.0
